timestamp_ms,ax,ay,az,label
3022857,-0.990723,-0.013672,-0.032715,left
3022878,-0.98999,-0.018555,-0.032227,left
3022899,-0.98877,-0.01001,-0.030518,left
3022920,-0.985107,-0.012939,-0.031738,left
3022941,-0.996094,-0.019287,-0.032959,left
3022962,-0.986328,-0.009766,-0.034424,left
3022983,-0.994385,-0.012451,-0.029053,left
3023004,-0.992187,-0.012695,-0.025146,left
3023025,-0.989746,-0.011963,-0.036133,left
3023046,-0.986084,-0.010498,-0.034424,left
3023067,-0.987793,-0.007568,-0.033691,left
3023088,-0.997559,-0.016846,-0.026611,left
3023109,-0.995361,-0.017334,-0.027832,left
3023130,-0.991699,-0.008301,-0.033447,left
3023151,-0.983398,0.001465,-0.031006,left
3023172,-0.994629,-0.018799,-0.029053,left
3023193,-0.991943,-0.016602,-0.032227,left
3023214,-0.987061,-0.019043,-0.035156,left
3023235,-0.986084,-0.011475,-0.036377,left
3023256,-0.997314,-0.014404,-0.041992,left
3023277,-0.992676,-0.014648,-0.033936,left
3023298,-0.986816,-0.013428,-0.031982,left
3023319,-0.986328,-0.01123,-0.030273,left
3023340,-0.986328,-0.015137,-0.030762,left
3023366,-0.994141,-0.011963,-0.0354,left
3023387,-0.986328,-0.012451,-0.033936,left
3023408,-0.989014,-0.012695,-0.039551,left
3023429,-0.992676,-0.016113,-0.039307,left
3023450,-0.993408,-0.013672,-0.036133,left
3023471,-0.980469,-0.008301,-0.032715,left
3023492,-0.992676,-0.014893,-0.039551,left
3023513,-0.987305,-0.010742,-0.042725,left
3023534,-0.998779,-0.013916,-0.030762,left
3023555,-0.987061,-0.015137,-0.032227,left
3023576,-0.988525,-0.014648,-0.042236,left
3023597,-0.991211,-0.006104,-0.04126,left
3023618,-0.991699,-0.017578,-0.036865,left
3023639,-0.988037,-0.019287,-0.034424,left
3023660,-0.982178,-0.014404,-0.038086,left
3023681,-0.993652,-0.011475,-0.038086,left
3023702,-0.990967,-0.017578,-0.036621,left
3023723,-0.992187,-0.018066,-0.041748,left
3023744,-0.98584,-0.008789,-0.038574,left
3023765,-0.987305,-0.014893,-0.031982,left
3023786,-0.999512,-0.01709,-0.042725,left
3023807,-0.975098,-0.012451,-0.040039,left
3023828,-0.999756,-0.022217,-0.039795,left
3023849,-0.990234,-0.015381,-0.03833,left
3023870,-0.985107,-0.009521,-0.040283,left
3023891,-0.989258,-0.02124,-0.04126,left
3023912,-0.986328,-0.01123,-0.039551,left
3023933,-0.998047,-0.011963,-0.045898,left
3023954,-0.989014,-0.01001,-0.037354,left
3023975,-0.993164,-0.014404,-0.040771,left
3023996,-0.976562,-0.013916,-0.045654,left
3024017,-0.990967,-0.019531,-0.039795,left
3024038,-0.990967,-0.012451,-0.044434,left
3024059,-0.99292,-0.016602,-0.044189,left
3024080,-0.992187,-0.018066,-0.045654,left
3024101,-0.987061,-0.008057,-0.039795,left
3024122,-0.997314,-0.020508,-0.034912,left
3024143,-0.982178,-0.004639,-0.045654,left
3024164,-0.989746,-0.018311,-0.038086,left
3024185,-0.986328,-0.012207,-0.042236,left
3024206,-0.992187,-0.01123,-0.046143,left
3024227,-0.993896,-0.014648,-0.040771,left
3024248,-0.990234,-0.004639,-0.033203,left
3024269,-0.987305,-0.016357,-0.038574,left
3024290,-0.992432,-0.017334,-0.043701,left
3024311,-0.982422,-0.009033,-0.043213,left
3024332,-0.992432,-0.019043,-0.039795,left
3024353,-0.990234,-0.009766,-0.038086,left
3024374,-0.986328,-0.014648,-0.043457,left
3024395,-0.993408,-0.016846,-0.042725,left
3024416,-0.98877,-0.014404,-0.035645,left
3024437,-0.98877,-0.012939,-0.043945,left
3024458,-0.995361,-0.015137,-0.035156,left
3024479,-0.983643,-0.012207,-0.039063,left
3024500,-0.994873,-0.019287,-0.029541,left
3024521,-0.986328,-0.013184,-0.036865,left
3024542,-0.993652,-0.012451,-0.04248,left
3024563,-0.988525,-0.013184,-0.044678,left
3024584,-0.984375,-0.01001,-0.051514,left
3024605,-0.987793,-0.014893,-0.038086,left
3024626,-0.98999,-0.017334,-0.037109,left
3024647,-0.991211,-0.016113,-0.04126,left
3024668,-0.986084,-0.018066,-0.046631,left
3024689,-0.990479,-0.016602,-0.048096,left
3024710,-0.987793,-0.01709,-0.050537,left
3024731,-0.998047,-0.019775,-0.052734,left
3024752,-0.992432,-0.016113,-0.05127,left
3024773,-0.991699,-0.003418,-0.047607,left
3024794,-0.986572,-0.007813,-0.043945,left
3024815,-0.981689,-0.016113,-0.04126,left
3024836,-0.994141,-0.014893,-0.044189,left
3024857,-0.984619,-0.012451,-0.043457,left
3024878,-0.987793,-0.018311,-0.043701,left
3024899,-0.991699,-0.022217,-0.037354,left
3024920,-0.989258,-0.014893,-0.040527,left
3024941,-0.988037,-0.01123,-0.040771,left
3024962,-0.986572,-0.013184,-0.042236,left
3024983,-0.991455,-0.012695,-0.039551,left
3025004,-0.98877,-0.011963,-0.039551,left
